Participant	block_order	group	trial	A	B	DA	DB	R	index	ID	PA	PB
1097	8	2	13	18	60	0	101	1	2	42	1	1
1097	8	2	14	24	60	0	101	1	2	42	1	1
1097	8	2	15	30	60	0	101	1	2	42	1	1
1097	8	2	16	36	60	0	101	1	2	42	1	1
1097	8	2	17	42	60	0	101	1	2	42	1	1
1097	8	2	18	48	60	0	101	1	2	42	1	1
1097	8	2	19	54	60	0	101	0	2	42	1	1
1097	8	2	20	60	60	0	101	0	2	42	1	1
1097	8	2	21	6	60	0	15	1	3	42	1	1
1097	8	2	22	12	60	0	15	1	3	42	1	1
1097	8	2	23	18	60	0	15	1	3	42	1	1
1097	8	2	24	24	60	0	15	1	3	42	1	1
1097	8	2	25	30	60	0	15	1	3	42	1	1
1097	8	2	26	36	60	0	15	1	3	42	1	1
1097	8	2	27	42	60	0	15	1	3	42	1	1
1097	8	2	28	48	60	0	15	1	3	42	1	1
1097	8	2	29	54	60	0	15	0	3	42	1	1
1097	8	2	30	60	60	0	15	0	3	42	1	1
1097	8	2	31	6	60	0	56	1	4	42	1	1
1097	8	2	32	12	60	0	56	1	4	42	1	1
1097	8	2	33	18	60	0	56	1	4	42	1	1
1097	8	2	34	24	60	0	56	1	4	42	1	1
1097	8	2	35	30	60	0	56	1	4	42	1	1
1097	8	2	36	36	60	0	56	1	4	42	1	1
1097	8	2	37	42	60	0	56	1	4	42	1	1
1097	8	2	38	48	60	0	56	1	4	42	1	1
1097	8	2	39	54	60	0	56	0	4	42	1	1
1097	8	2	40	60	60	0	56	0	4	42	1	1
1097	8	2	41	6	60	0	29	1	5	42	1	1
1097	8	2	42	12	60	0	29	1	5	42	1	1
1097	8	2	43	18	60	0	29	1	5	42	1	1
1097	8	2	44	24	60	0	29	1	5	42	1	1
1097	8	2	45	30	60	0	29	1	5	42	1	1
1097	8	2	46	36	60	0	29	1	5	42	1	1
1097	8	2	47	42	60	0	29	1	5	42	1	1
1097	8	2	48	48	60	0	29	1	5	42	1	1
1097	8	2	49	54	60	0	29	0	5	42	1	1
1097	8	2	50	60	60	0	29	0	5	42	1	1
1099	9	2	1	60	60	0	15	0	1	43	1	1
1099	9	2	2	54	60	0	15	1	1	43	1	1
1099	9	2	3	48	60	0	15	1	1	43	1	1
1099	9	2	4	42	60	0	15	1	1	43	1	1
1099	9	2	5	36	60	0	15	1	1	43	1	1
1099	9	2	6	30	60	0	15	1	1	43	1	1
1099	9	2	7	24	60	0	15	1	1	43	1	1
1099	9	2	8	18	60	0	15	1	1	43	1	1
1099	9	2	9	12	60	0	15	1	1	43	1	1
1099	9	2	10	6	60	0	15	1	1	43	1	1
1099	9	2	11	60	60	0	7	1	2	43	1	1
1099	9	2	12	54	60	0	7	1	2	43	1	1
1099	9	2	13	48	60	0	7	1	2	43	1	1
1099	9	2	14	42	60	0	7	1	2	43	1	1
1099	9	2	15	36	60	0	7	1	2	43	1	1
1099	9	2	16	30	60	0	7	1	2	43	1	1
1099	9	2	17	24	60	0	7	1	2	43	1	1
1099	9	2	18	18	60	0	7	1	2	43	1	1
1099	9	2	19	12	60	0	7	1	2	43	1	1
1099	9	2	20	6	60	0	7	1	2	43	1	1
1099	9	2	21	60	60	0	29	0	3	43	1	1
1099	9	2	22	54	60	0	29	1	3	43	1	1
1099	9	2	23	48	60	0	29	1	3	43	1	1
1099	9	2	24	42	60	0	29	1	3	43	1	1
1099	9	2	25	36	60	0	29	1	3	43	1	1
1099	9	2	26	30	60	0	29	1	3	43	1	1
1099	9	2	27	24	60	0	29	1	3	43	1	1
1099	9	2	28	18	60	0	29	1	3	43	1	1
1099	9	2	29	12	60	0	29	1	3	43	1	1
1099	9	2	30	6	60	0	29	1	3	43	1	1
1099	9	2	31	60	60	0	101	0	4	43	1	1
1099	9	2	32	54	60	0	101	1	4	43	1	1
1099	9	2	33	48	60	0	101	1	4	43	1	1
1099	9	2	34	42	60	0	101	0	4	43	1	1
1099	9	2	35	36	60	0	101	0	4	43	1	1
1099	9	2	36	30	60	0	101	0	4	43	1	1
1099	9	2	37	24	60	0	101	1	4	43	1	1
1099	9	2	38	18	60	0	101	1	4	43	1	1
1099	9	2	39	12	60	0	101	1	4	43	1	1
1099	9	2	40	6	60	0	101	1	4	43	1	1
1099	9	2	41	60	60	0	56	0	5	43	1	1
1099	9	2	42	54	60	0	56	0	5	43	1	1
1099	9	2	43	48	60	0	56	0	5	43	1	1
1099	9	2	44	42	60	0	56	0	5	43	1	1
1099	9	2	45	36	60	0	56	0	5	43	1	1
1099	9	2	46	30	60	0	56	0	5	43	1	1
1099	9	2	47	24	60	0	56	1	5	43	1	1
1099	9	2	48	18	60	0	56	1	5	43	1	1
1099	9	2	49	12	60	0	56	1	5	43	1	1
1099	9	2	50	6	60	0	56	1	5	43	1	1
1100	10	2	1	6	60	0	29	1	1	44	1	1
1100	10	2	2	12	60	0	29	1	1	44	1	1
1100	10	2	3	18	60	0	29	1	1	44	1	1
1100	10	2	4	24	60	0	29	1	1	44	1	1
1100	10	2	5	30	60	0	29	1	1	44	1	1
1100	10	2	6	36	60	0	29	1	1	44	1	1
1100	10	2	7	42	60	0	29	1	1	44	1	1
1100	10	2	8	48	60	0	29	1	1	44	1	1
1100	10	2	9	54	60	0	29	1	1	44	1	1
1100	10	2	10	60	60	0	29	0	1	44	1	1
1100	10	2	11	6	60	0	15	1	2	44	1	1
1100	10	2	12	12	60	0	15	1	2	44	1	1
1100	10	2	13	18	60	0	15	1	2	44	1	1
1100	10	2	14	24	60	0	15	1	2	44	1	1
1100	10	2	15	30	60	0	15	1	2	44	1	1
1100	10	2	16	36	60	0	15	1	2	44	1	1
1100	10	2	17	42	60	0	15	1	2	44	1	1
1100	10	2	18	48	60	0	15	1	2	44	1	1
1100	10	2	19	54	60	0	15	1	2	44	1	1
1100	10	2	20	60	60	0	15	0	2	44	1	1
1100	10	2	21	6	60	0	56	1	3	44	1	1
1100	10	2	22	12	60	0	56	1	3	44	1	1
1100	10	2	23	18	60	0	56	1	3	44	1	1
1100	10	2	24	24	60	0	56	1	3	44	1	1
1100	10	2	25	30	60	0	56	1	3	44	1	1
1100	10	2	26	36	60	0	56	1	3	44	1	1
1100	10	2	27	42	60	0	56	0	3	44	1	1
1100	10	2	28	48	60	0	56	0	3	44	1	1
1100	10	2	29	54	60	0	56	0	3	44	1	1
1100	10	2	30	60	60	0	56	0	3	44	1	1
1100	10	2	31	6	60	0	7	1	4	44	1	1
1100	10	2	32	12	60	0	7	1	4	44	1	1
1100	10	2	33	18	60	0	7	1	4	44	1	1
1100	10	2	34	24	60	0	7	1	4	44	1	1
1100	10	2	35	30	60	0	7	1	4	44	1	1
1100	10	2	36	36	60	0	7	1	4	44	1	1
1100	10	2	37	42	60	0	7	1	4	44	1	1
1100	10	2	38	48	60	0	7	1	4	44	1	1
1100	10	2	39	54	60	0	7	1	4	44	1	1
1100	10	2	40	60	60	0	7	0	4	44	1	1
1100	10	2	41	6	60	0	101	1	5	44	1	1
1100	10	2	42	12	60	0	101	0	5	44	1	1
1100	10	2	43	18	60	0	101	0	5	44	1	1
1100	10	2	44	24	60	0	101	0	5	44	1	1
1100	10	2	45	30	60	0	101	0	5	44	1	1
1100	10	2	46	36	60	0	101	0	5	44	1	1
1100	10	2	47	42	60	0	101	0	5	44	1	1
1100	10	2	48	48	60	0	101	0	5	44	1	1
1100	10	2	49	54	60	0	101	0	5	44	1	1
1100	10	2	50	60	60	0	101	0	5	44	1	1
